"rent, rub/month",full_address,city,"price_per_sqm, rub/month","square, m^2",type,url
385000,"улица Коралловая, 1",Челябинск,700,550,Универсальное помещение,https://chelyabinsk.n1.ru/view/111201265/?open_card_kn
112200,"Краснопольский проспект, 13г",Челябинск,600,187,Универсальное помещение,https://chelyabinsk.n1.ru/view/111166937/?open_card_kn
380000,"улица Энгельса, 58",Челябинск,469,810,Универсальное помещение,https://chelyabinsk.n1.ru/view/109865689/?open_card_kn
91020,"улица Худякова, 10",Челябинск,820,111,Универсальное помещение,https://chelyabinsk.n1.ru/view/115894720/?open_card_kn
270000,"улица Героев Танкограда, 91",Челябинск,1000,270,Универсальное помещение,https://chelyabinsk.n1.ru/view/110913291/?open_card_kn
520000,"улица Курчатова, 25",Челябинск,1300,400,Универсальное помещение,https://chelyabinsk.n1.ru/view/111347892/?open_card_kn
190000,"Ленина проспект, 17",Челябинск,708,268,Универсальное помещение,https://chelyabinsk.n1.ru/view/111347888/?open_card_kn
70000,"улица Коралловая, 1",Челябинск,921,76,Универсальное помещение,https://chelyabinsk.n1.ru/view/111347884/?open_card_kn
984000,"улица Курчатова, 25",Челябинск,1200,820,Универсальное помещение,https://chelyabinsk.n1.ru/view/110011471/?open_card_kn
60000,"Копейское шоссе, 1ж",Челябинск,571,105,Универсальное помещение,https://chelyabinsk.n1.ru/view/108641368/?open_card_kn
84960,"Трактористов, 1",Челябинск,472,180,Универсальное помещение,https://chelyabinsk.n1.ru/view/111242456/?open_card_kn
361250,"Новоградский проспект, 10",Челябинск,850,425,Универсальное помещение,https://chelyabinsk.n1.ru/view/115952629/?open_card_kn
350000,"улица Воровского, 21",Челябинск,1273,274,Универсальное помещение,https://chelyabinsk.n1.ru/view/115259370/?open_card_kn
162400,"улица Худякова, 10",Челябинск,800,203,Универсальное помещение,https://chelyabinsk.n1.ru/view/115916769/?open_card_kn
18810000,"улица Шершневская, 95",Челябинск,99000,190,Универсальное помещение,https://chelyabinsk.n1.ru/view/115761782/?open_card_kn
258400,"улица Дзержинского, 93",Челябинск,1700,152,Универсальное помещение,https://chelyabinsk.n1.ru/view/111459942/?open_card_kn
