"rent, rub/month",full_address,city,"price_per_sqm, rub/month","square, m^2",type,url
91020,Худякова,Челябинск,820,111,Универсальное помещение,https://chelyabinsk.n1.ru/view/115894720/?open_card_kn
130000,Ленина проспект,Челябинск,2199,59,Универсальное помещение,https://chelyabinsk.n1.ru/view/115367715/?open_card_kn
84960,Трактористов,Челябинск,472,180,Универсальное помещение,https://chelyabinsk.n1.ru/view/111242456/?open_card_kn
20000,Салютная,Челябинск,1000,20,Универсальное помещение,https://chelyabinsk.n1.ru/view/113092958/?open_card_kn
162400,Худякова,Челябинск,800,203,Универсальное помещение,https://chelyabinsk.n1.ru/view/115916769/?open_card_kn
18810000,Шершневская,Челябинск,99000,190,Универсальное помещение,https://chelyabinsk.n1.ru/view/115761782/?open_card_kn
64999,Советская,Челябинск,738,88,Универсальное помещение,https://chelyabinsk.n1.ru/view/115957393/?open_card_kn
43000,Советская,Челябинск,325,132,Универсальное помещение,https://chelyabinsk.n1.ru/view/114532691/?open_card_kn
75000,Дзержинского,Челябинск,2500,30,Универсальное помещение,https://chelyabinsk.n1.ru/view/113481708/?open_card_kn
107000,Героев Танкограда,Челябинск,1000,107,Универсальное помещение,https://chelyabinsk.n1.ru/view/112295923/?open_card_kn
140000,Салавата Юлаева,Челябинск,818,171,Универсальное помещение,https://chelyabinsk.n1.ru/view/114531415/?open_card_kn
95000,Труда,Челябинск,1900,50,Универсальное помещение,https://chelyabinsk.n1.ru/view/115260617/?open_card_kn
361250,Новоградский проспект,Челябинск,850,425,Универсальное помещение,https://chelyabinsk.n1.ru/view/115952629/?open_card_kn
350000,Воровского,Челябинск,1273,274,Универсальное помещение,https://chelyabinsk.n1.ru/view/115259370/?open_card_kn
13000,Свердловский проспект,Челябинск,1083,12,Универсальное помещение,https://chelyabinsk.n1.ru/view/112651422/?open_card_kn
120000,Каслинская,Челябинск,517,232,Универсальное помещение,https://chelyabinsk.n1.ru/view/111633967/?open_card_kn
16000,Копейское шоссе,Челябинск,615,26,Универсальное помещение,https://chelyabinsk.n1.ru/view/114914873/?open_card_kn
99000,Копейское шоссе,Челябинск,436,227,Универсальное помещение,https://chelyabinsk.n1.ru/view/114525249/?open_card_kn
300000,Блюхера,Челябинск,980,306,Универсальное помещение,https://chelyabinsk.n1.ru/view/115949775/?open_card_kn
33246,Пионерская,Челябинск,499,66,Универсальное помещение,https://chelyabinsk.n1.ru/view/114913992/?open_card_kn
220000,Энтузиастов,Челябинск,1208,182,Универсальное помещение,https://chelyabinsk.n1.ru/view/112650773/?open_card_kn
90000,Шершневская,Челябинск,511,176,Универсальное помещение,https://chelyabinsk.n1.ru/view/115602504/?open_card_kn
204695,Курчатова,Челябинск,603,339,Универсальное помещение,https://chelyabinsk.n1.ru/view/114907112/?open_card_kn
78000,Братьев Кашириных,Челябинск,573,136,Универсальное помещение,https://chelyabinsk.n1.ru/view/115250285/?open_card_kn
80000,Чичерина,Челябинск,1250,64,Универсальное помещение,https://chelyabinsk.n1.ru/view/115936286/?open_card_kn
4700000,Доватора,Челябинск,50000,94,Универсальное помещение,https://chelyabinsk.n1.ru/view/113085474/?open_card_kn
350000,Северная,Челябинск,777,450,Универсальное помещение,https://chelyabinsk.n1.ru/view/115243366/?open_card_kn
28000,Ленина проспект,Челябинск,1093,25,Универсальное помещение,https://chelyabinsk.n1.ru/view/115934453/?open_card_kn
267660,Академика Макеева,Челябинск,1800,148,Универсальное помещение,https://chelyabinsk.n1.ru/view/115242822/?open_card_kn
385000,Коралловая,Челябинск,700,550,Универсальное помещение,https://chelyabinsk.n1.ru/view/111201265/?open_card_kn
210000,Троицкий тракт,Челябинск,350,600,Универсальное помещение,https://chelyabinsk.n1.ru/view/112264602/?open_card_kn
60000,Ленина проспект,Челябинск,674,89,Универсальное помещение,https://chelyabinsk.n1.ru/view/115930129/?open_card_kn
450000,Матросова (Миасский),Челябинск,489,920,Универсальное помещение,https://chelyabinsk.n1.ru/view/115588585/?open_card_kn
94000,Гагарина,Челябинск,2000,47,Универсальное помещение,https://chelyabinsk.n1.ru/view/115228054/?open_card_kn
129800,Татьяничевой,Челябинск,1100,118,Универсальное помещение,https://chelyabinsk.n1.ru/view/115228053/?open_card_kn
160000,Игуменка,Челябинск,792,202,Универсальное помещение,https://chelyabinsk.n1.ru/view/115587566/?open_card_kn
450000,Гагарина,Челябинск,1500,300,Универсальное помещение,https://chelyabinsk.n1.ru/view/115226437/?open_card_kn
300000,Академика Макеева,Челябинск,2000,150,Универсальное помещение,https://chelyabinsk.n1.ru/view/115226438/?open_card_kn
540000,Копейское шоссе,Челябинск,1500,360,Универсальное помещение,https://chelyabinsk.n1.ru/view/114887621/?open_card_kn
170800,Сталеваров,Челябинск,700,244,Универсальное помещение,https://chelyabinsk.n1.ru/view/109884156/?open_card_kn
60000,Черничная,Челябинск,397,151,Универсальное помещение,https://chelyabinsk.n1.ru/view/106472025/?open_card_kn
174000,Победы проспект,Челябинск,600,290,Универсальное помещение,https://chelyabinsk.n1.ru/view/114886839/?open_card_kn
65000,Татьяничевой,Челябинск,1181,55,Универсальное помещение,https://chelyabinsk.n1.ru/view/115586244/?open_card_kn
10000,Свободы,Челябинск,657,15,Универсальное помещение,https://chelyabinsk.n1.ru/view/115586243/?open_card_kn
166100,Победы проспект,Челябинск,550,302,Универсальное помещение,https://chelyabinsk.n1.ru/view/113799312/?open_card_kn
112200,Краснопольский проспект,Челябинск,600,187,Универсальное помещение,https://chelyabinsk.n1.ru/view/111166937/?open_card_kn
73800,Ломоносова,Челябинск,1000,73,Универсальное помещение,https://chelyabinsk.n1.ru/view/114886422/?open_card_kn
106875,Комсомольский проспект,Челябинск,750,142,Универсальное помещение,https://chelyabinsk.n1.ru/view/111602434/?open_card_kn
50400,Петра Столыпина,Челябинск,900,56,Универсальное помещение,https://chelyabinsk.n1.ru/view/115222810/?open_card_kn
140000,Героев Танкограда,Челябинск,1400,100,Универсальное помещение,https://chelyabinsk.n1.ru/view/115926850/?open_card_kn
85500,Марченко,Челябинск,1500,57,Универсальное помещение,https://chelyabinsk.n1.ru/view/115574885/?open_card_kn
120000,Доватора,Челябинск,1967,61,Универсальное помещение,https://chelyabinsk.n1.ru/view/115574884/?open_card_kn
80000,Героев Танкограда,Челябинск,800,100,Универсальное помещение,https://chelyabinsk.n1.ru/view/115574654/?open_card_kn
60000,Героев Танкограда,Челябинск,800,75,Универсальное помещение,https://chelyabinsk.n1.ru/view/115574653/?open_card_kn
120000,Борьбы,Челябинск,350,342,Универсальное помещение,https://chelyabinsk.n1.ru/view/115211568/?open_card_kn
10000,Ленина (Шершни),Челябинск,555,18,Универсальное помещение,https://chelyabinsk.n1.ru/view/113053386/?open_card_kn
380000,Энгельса,Челябинск,469,810,Универсальное помещение,https://chelyabinsk.n1.ru/view/109865689/?open_card_kn
190000,Ленина проспект,Челябинск,2000,95,Универсальное помещение,https://chelyabinsk.n1.ru/view/115571473/?open_card_kn
159800,Копейское шоссе,Челябинск,799,200,Универсальное помещение,https://chelyabinsk.n1.ru/view/115191212/?open_card_kn
50000,Карпинского,Челябинск,833,60,Универсальное помещение,https://chelyabinsk.n1.ru/view/114497915/?open_card_kn
204000,Братьев Кашириных,Челябинск,1992,102,Универсальное помещение,https://chelyabinsk.n1.ru/view/115564073/?open_card_kn
108000,Сталеваров,Челябинск,1200,90,Универсальное помещение,https://chelyabinsk.n1.ru/view/115564075/?open_card_kn
60000,Худякова,Челябинск,1176,51,Универсальное помещение,https://chelyabinsk.n1.ru/view/115563937/?open_card_kn
180000,Героев Танкограда,Челябинск,720,250,Универсальное помещение,https://chelyabinsk.n1.ru/view/115172647/?open_card_kn
25000,Каслинская,Челябинск,147,170,Универсальное помещение,https://chelyabinsk.n1.ru/view/115172609/?open_card_kn
49000,Ленина проспект,Челябинск,890,55,Универсальное помещение,https://chelyabinsk.n1.ru/view/115561989/?open_card_kn
2250000,Гагарина,Челябинск,1500,1500,Универсальное помещение,https://chelyabinsk.n1.ru/view/115166101/?open_card_kn
750000,Гагарина,Челябинск,1500,500,Универсальное помещение,https://chelyabinsk.n1.ru/view/115166100/?open_card_kn
108000,Свердловский проспект,Челябинск,1800,60,Универсальное помещение,https://chelyabinsk.n1.ru/view/115166102/?open_card_kn
140000,Героев Танкограда,Челябинск,1400,100,Универсальное помещение,https://chelyabinsk.n1.ru/view/115913811/?open_card_kn
85800,Калинина,Челябинск,564,152,Универсальное помещение,https://chelyabinsk.n1.ru/view/115913579/?open_card_kn
630000,Братьев Кашириных,Челябинск,600,1050,Универсальное помещение,https://chelyabinsk.n1.ru/view/114154308/?open_card_kn
83000,Гюго,Челябинск,846,98,Универсальное помещение,https://chelyabinsk.n1.ru/view/115911977/?open_card_kn
90000,Евтеева,Челябинск,1200,75,Универсальное помещение,https://chelyabinsk.n1.ru/view/115556909/?open_card_kn
100000,Академика Макеева,Челябинск,1845,54,Универсальное помещение,https://chelyabinsk.n1.ru/view/115556897/?open_card_kn
36000,Жукова,Челябинск,1000,36,Универсальное помещение,https://chelyabinsk.n1.ru/view/115556352/?open_card_kn
1850,Героя России Родионова Е.Н.,Челябинск,13,138,Универсальное помещение,https://chelyabinsk.n1.ru/view/115549079/?open_card_kn
360000,Карла Маркса,Челябинск,600,600,Универсальное помещение,https://chelyabinsk.n1.ru/view/115901374/?open_card_kn
175000,Мамина,Челябинск,749,233,Универсальное помещение,https://chelyabinsk.n1.ru/view/113419685/?open_card_kn
156000,Пушкина,Челябинск,1300,120,Универсальное помещение,https://chelyabinsk.n1.ru/view/113419633/?open_card_kn
445007,Степана Разина,Челябинск,1570,283,Универсальное помещение,https://chelyabinsk.n1.ru/view/114867300/?open_card_kn
60000,Комсомольский проспект,Челябинск,416,144,Универсальное помещение,https://chelyabinsk.n1.ru/view/111557568/?open_card_kn
120000,Братьев Кашириных,Челябинск,631,190,Универсальное помещение,https://chelyabinsk.n1.ru/view/115900009/?open_card_kn
85000,Марченко,Челябинск,1491,57,Универсальное помещение,https://chelyabinsk.n1.ru/view/114866121/?open_card_kn
75000,Свободы,Челябинск,887,84,Универсальное помещение,https://chelyabinsk.n1.ru/view/115894545/?open_card_kn
50000,Воровского,Челябинск,1020,49,Универсальное помещение,https://chelyabinsk.n1.ru/view/115894497/?open_card_kn
75000,Комаровского,Челябинск,350,214,Универсальное помещение,https://chelyabinsk.n1.ru/view/113019273/?open_card_kn
40000,Шагольский 3-й переулок,Челябинск,666,60,Универсальное помещение,https://chelyabinsk.n1.ru/view/112237745/?open_card_kn
30000,Ленина проспект,Челябинск,272,110,Универсальное помещение,https://chelyabinsk.n1.ru/view/108291078/?open_card_kn
42000,Петра Сумина,Челябинск,1000,42,Универсальное помещение,https://chelyabinsk.n1.ru/view/115893038/?open_card_kn
114800,Осипенко,Челябинск,700,164,Универсальное помещение,https://chelyabinsk.n1.ru/view/115893039/?open_card_kn
211200,Комсомольский проспект,Челябинск,1600,132,Универсальное помещение,https://chelyabinsk.n1.ru/view/115893008/?open_card_kn
15000,Базовая 2-я,Челябинск,300,50,Универсальное помещение,https://chelyabinsk.n1.ru/view/115892985/?open_card_kn
25000,Короленко,Челябинск,138,180,Универсальное помещение,https://chelyabinsk.n1.ru/view/115892984/?open_card_kn
459000,Дзержинского,Челябинск,1700,270,Универсальное помещение,https://chelyabinsk.n1.ru/view/113404718/?open_card_kn
99500,Черкасская,Челябинск,771,129,Универсальное помещение,https://chelyabinsk.n1.ru/view/113402862/?open_card_kn
70000,Чапаева,Челябинск,2755,25,Универсальное помещение,https://chelyabinsk.n1.ru/view/111954231/?open_card_kn
100000,Университетская Набережная,Челябинск,2000,50,Универсальное помещение,https://chelyabinsk.n1.ru/view/115879438/?open_card_kn
136360,Ленина проспект,Челябинск,400,340,Универсальное помещение,https://chelyabinsk.n1.ru/view/114464379/?open_card_kn
27500,Победы проспект,Челябинск,550,50,Универсальное помещение,https://chelyabinsk.n1.ru/view/107700671/?open_card_kn
55000,Победы проспект,Челябинск,550,100,Универсальное помещение,https://chelyabinsk.n1.ru/view/107700670/?open_card_kn
70000,Красного Урала,Челябинск,660,106,Универсальное помещение,https://chelyabinsk.n1.ru/view/115876407/?open_card_kn
200000,Кирова,Челябинск,823,243,Универсальное помещение,https://chelyabinsk.n1.ru/view/115876405/?open_card_kn
15000,Школьная,Челябинск,517,29,Универсальное помещение,https://chelyabinsk.n1.ru/view/115876398/?open_card_kn
19000,Передовой переулок,Челябинск,500,38,Универсальное помещение,https://chelyabinsk.n1.ru/view/115876307/?open_card_kn
9900,Передовой переулок,Челябинск,521,19,Универсальное помещение,https://chelyabinsk.n1.ru/view/115876308/?open_card_kn
7800,Передовой переулок,Челябинск,300,26,Универсальное помещение,https://chelyabinsk.n1.ru/view/115876306/?open_card_kn
500000,Металлургов шоссе,Челябинск,649,770,Универсальное помещение,https://chelyabinsk.n1.ru/view/113002463/?open_card_kn
80000,Богдана Хмельницкого,Челябинск,200,400,Универсальное помещение,https://chelyabinsk.n1.ru/view/115875543/?open_card_kn
315000,МОПРа площадь,Челябинск,500,630,Универсальное помещение,https://chelyabinsk.n1.ru/view/114461602/?open_card_kn
80000,Блюхера,Челябинск,500,160,Универсальное помещение,https://chelyabinsk.n1.ru/view/114453575/?open_card_kn
80000,ГСК 209 территория,Челябинск,516,155,Универсальное помещение,https://chelyabinsk.n1.ru/view/114841418/?open_card_kn
89640,Плеханова,Челябинск,1200,74,Универсальное помещение,https://chelyabinsk.n1.ru/view/114840894/?open_card_kn
62500,Ленина проспект,Челябинск,1086,57,Универсальное помещение,https://chelyabinsk.n1.ru/view/114451186/?open_card_kn
51000,Потребительская 1-я,Челябинск,275,185,Универсальное помещение,https://chelyabinsk.n1.ru/view/115870917/?open_card_kn
80000,Приборостроителей,Челябинск,400,200,Универсальное помещение,https://chelyabinsk.n1.ru/view/115870916/?open_card_kn
396000,Копейское шоссе,Челябинск,1100,360,Универсальное помещение,https://chelyabinsk.n1.ru/view/115870807/?open_card_kn
110000,Гагарина,Челябинск,1312,83,Универсальное помещение,https://chelyabinsk.n1.ru/view/112593137/?open_card_kn
16000,Свердловский тракт,Челябинск,400,40,Универсальное помещение,https://chelyabinsk.n1.ru/view/112592373/?open_card_kn
145000,Орджоникидзе,Челябинск,500,290,Универсальное помещение,https://chelyabinsk.n1.ru/view/114119769/?open_card_kn
228000,Ленина проспект,Челябинск,600,380,Универсальное помещение,https://chelyabinsk.n1.ru/view/113372230/?open_card_kn
566100,Ленина проспект,Челябинск,1000,566,Универсальное помещение,https://chelyabinsk.n1.ru/view/113372086/?open_card_kn
384800,Комсомольский проспект,Челябинск,1300,296,Универсальное помещение,https://chelyabinsk.n1.ru/view/106435232/?open_card_kn
228000,Ленина проспект,Челябинск,600,380,Универсальное помещение,https://chelyabinsk.n1.ru/view/112579509/?open_card_kn
33000,Троицкий тракт,Челябинск,507,65,Универсальное помещение,https://chelyabinsk.n1.ru/view/106429326/?open_card_kn
210000,Троицкий тракт,Челябинск,350,600,Универсальное помещение,https://chelyabinsk.n1.ru/view/106427123/?open_card_kn
90000,Свободы,Челябинск,818,110,Универсальное помещение,https://chelyabinsk.n1.ru/view/114819028/?open_card_kn
100000,Победы проспект,Челябинск,1428,70,Универсальное помещение,https://chelyabinsk.n1.ru/view/111071899/?open_card_kn
50000,Свободы переулок,Челябинск,877,57,Универсальное помещение,https://chelyabinsk.n1.ru/view/114096769/?open_card_kn
488000,Героев Танкограда,Челябинск,830,587,Универсальное помещение,https://chelyabinsk.n1.ru/view/114095790/?open_card_kn
150000,Северо-Крымский 2-й переулок,Челябинск,1250,120,Универсальное помещение,https://chelyabinsk.n1.ru/view/115507717/?open_card_kn
15000,Набережная,Челябинск,1000,15,Универсальное помещение,https://chelyabinsk.n1.ru/view/112982239/?open_card_kn
65000,МОПРа площадь,Челябинск,473,137,Универсальное помещение,https://chelyabinsk.n1.ru/view/106380506/?open_card_kn
150000,Красная,Челябинск,429,349,Универсальное помещение,https://chelyabinsk.n1.ru/view/106380404/?open_card_kn
10000,Витебская,Челябинск,263,38,Универсальное помещение,https://chelyabinsk.n1.ru/view/111054608/?open_card_kn
7000,Копейское шоссе,Челябинск,700,10,Универсальное помещение,https://chelyabinsk.n1.ru/view/114079816/?open_card_kn
247000,Комсомольский проспект,Челябинск,449,550,Универсальное помещение,https://chelyabinsk.n1.ru/view/114429309/?open_card_kn
252000,Энтузиастов,Челябинск,700,360,Универсальное помещение,https://chelyabinsk.n1.ru/view/114429310/?open_card_kn
180000,Артиллерийская,Челябинск,529,340,Универсальное помещение,https://chelyabinsk.n1.ru/view/114428623/?open_card_kn
