"rent, rub/month",full_address,city,"price_per_sqm, rub/month","square, m^2",type,url
1990000,Бориса Ельцина,Екатеринбург,2752,723,Универсальное помещение,https://ekaterinburg.n1.ru/view/115559352/?open_card_kn
90200,Александровский проспект,Екатеринбург,1000,90,Универсальное помещение,https://ekaterinburg.n1.ru/view/113385536/?open_card_kn
165000,Репина,Екатеринбург,1509,109,Универсальное помещение,https://ekaterinburg.n1.ru/view/114413578/?open_card_kn
28680,Победы,Екатеринбург,1200,23,Универсальное помещение,https://ekaterinburg.n1.ru/view/111396687/?open_card_kn
108000,Победы,Екатеринбург,1200,90,Универсальное помещение,https://ekaterinburg.n1.ru/view/111396689/?open_card_kn
240000,1-й Пятилетки а/я,Екатеринбург,750,320,Универсальное помещение,https://ekaterinburg.n1.ru/view/113841415/?open_card_kn
18894,Академическая,Екатеринбург,1050,17,Универсальное помещение,https://ekaterinburg.n1.ru/view/115961182/?open_card_kn
1190000,Артинская,Екатеринбург,846,1406,Универсальное помещение,https://ekaterinburg.n1.ru/view/115960150/?open_card_kn
150000,Академика Парина,Екатеринбург,1388,108,Универсальное помещение,https://ekaterinburg.n1.ru/view/115960044/?open_card_kn
75000,Щорса,Екатеринбург,1543,48,Универсальное помещение,https://ekaterinburg.n1.ru/view/115873234/?open_card_kn
216000,Физкультурников,Екатеринбург,600,360,Универсальное помещение,https://ekaterinburg.n1.ru/view/115865837/?open_card_kn
350000,Октябрьская,Екатеринбург,3012,116,Универсальное помещение,https://ekaterinburg.n1.ru/view/115664005/?open_card_kn
54680,Изоплитная,Екатеринбург,800,68,Универсальное помещение,https://ekaterinburg.n1.ru/view/114589999/?open_card_kn
43638,Фронтовых бригад,Екатеринбург,420,103,Универсальное помещение,https://ekaterinburg.n1.ru/view/113291865/?open_card_kn
85140,Евгения Савкова,Екатеринбург,1784,47,Универсальное помещение,https://ekaterinburg.n1.ru/view/113279930/?open_card_kn
886000,Луначарского,Екатеринбург,2000,443,Универсальное помещение,https://ekaterinburg.n1.ru/view/112661780/?open_card_kn
481500,Ленина проспект,Екатеринбург,3000,160,Универсальное помещение,https://ekaterinburg.n1.ru/view/112370802/?open_card_kn
16974,Фронтовых бригад,Екатеринбург,820,20,Универсальное помещение,https://ekaterinburg.n1.ru/view/73320280/?open_card_kn
80042,40-летия Октября,Екатеринбург,1650,48,Универсальное помещение,https://ekaterinburg.n1.ru/view/115959639/?open_card_kn
13500,Пальмиро Тольятти,Екатеринбург,964,14,Универсальное помещение,https://ekaterinburg.n1.ru/view/113837261/?open_card_kn
160000,Михаила Ананьева,Екатеринбург,2191,73,Универсальное помещение,https://ekaterinburg.n1.ru/view/115604240/?open_card_kn
70000,8 Марта,Екатеринбург,1323,52,Универсальное помещение,https://ekaterinburg.n1.ru/view/115954761/?open_card_kn
863760,ЦОФ поселок,Екатеринбург,600,1439,Универсальное помещение,https://ekaterinburg.n1.ru/view/112295702/?open_card_kn
100000,Амундсена,Екатеринбург,1851,54,Универсальное помещение,https://ekaterinburg.n1.ru/view/115954638/?open_card_kn
57000,Пальмиро Тольятти,Екатеринбург,1325,43,Универсальное помещение,https://ekaterinburg.n1.ru/view/115954290/?open_card_kn
916000,Долорес Ибаррури,Екатеринбург,800,1145,Универсальное помещение,https://ekaterinburg.n1.ru/view/114529432/?open_card_kn
250000,Ленина проспект,Екатеринбург,1043,239,Универсальное помещение,https://ekaterinburg.n1.ru/view/115953650/?open_card_kn
75000,Хибиногорский переулок,Екатеринбург,500,150,Универсальное помещение,https://ekaterinburg.n1.ru/view/115949980/?open_card_kn
284913,Куйбышева,Екатеринбург,686,415,Универсальное помещение,https://ekaterinburg.n1.ru/view/114914140/?open_card_kn
1235000,Шейнкмана,Екатеринбург,1900,650,Универсальное помещение,https://ekaterinburg.n1.ru/view/115949231/?open_card_kn
314000,Белинского,Екатеринбург,1000,314,Универсальное помещение,https://ekaterinburg.n1.ru/view/115945923/?open_card_kn
160000,Громова,Екатеринбург,1290,124,Универсальное помещение,https://ekaterinburg.n1.ru/view/114909813/?open_card_kn
35000,Крупносортщиков,Екатеринбург,593,59,Универсальное помещение,https://ekaterinburg.n1.ru/view/115600527/?open_card_kn
6000,Пушкина,Екатеринбург,1000,6,Универсальное помещение,https://ekaterinburg.n1.ru/view/114193522/?open_card_kn
170000,Ирбитская,Екатеринбург,1293,131,Универсальное помещение,https://ekaterinburg.n1.ru/view/115941798/?open_card_kn
