"rent, rub/month",full_address,city,"price_per_sqm, rub/month","square, m^2",type,url
45000,"улица Восточно-Кругликовская, 42",Краснодар,1500,30,Универсальное помещение,https://krasnodar-1.n1.ru/view/115617310/?open_card_kn
45000,"улица им Евгении Жигуленко, 25",Краснодар,900,50,Универсальное помещение,https://krasnodar-1.n1.ru/view/115481850/?open_card_kn
130031,"проспект Трудовой Славы, 1",Краснодар,550,236,Универсальное помещение,https://krasnodar-1.n1.ru/view/77988401/?open_card_kn
780000,"улица Дмитрия Есаулко, 11",Краснодар,1300,600,Универсальное помещение,https://krasnodar-1.n1.ru/view/115953343/?open_card_kn
474000,"улица им Бабушкина, 168",Краснодар,1500,316,Универсальное помещение,https://krasnodar-1.n1.ru/view/115953342/?open_card_kn
352800,"улица им Бабушкина, 166",Краснодар,1800,196,Универсальное помещение,https://krasnodar-1.n1.ru/view/115953331/?open_card_kn
360000,"улица Ямальская 2-я, 45",Краснодар,500,718,Универсальное помещение,https://krasnodar-1.n1.ru/view/114528204/?open_card_kn
50000,"улица Имени Ивана Лотышева, 1",Краснодар,1000,50,Универсальное помещение,https://krasnodar-1.n1.ru/view/113476800/?open_card_kn
82950,"улица Широкая, 42",Краснодар,350,237,Универсальное помещение,https://krasnodar-1.n1.ru/view/111218775/?open_card_kn
120000,"улица Командорская, 1",Краснодар,1118,107,Универсальное помещение,https://krasnodar-1.n1.ru/view/115947320/?open_card_kn
106000,"улица Командорская, 15",Краснодар,1000,106,Универсальное помещение,https://krasnodar-1.n1.ru/view/115947319/?open_card_kn
130000,"улица Ставропольская, 128",Краснодар,1140,114,Универсальное помещение,https://krasnodar-1.n1.ru/view/115252955/?open_card_kn
72000,"улица им Петра Метальникова, 17",Краснодар,1200,60,Универсальное помещение,https://krasnodar-1.n1.ru/view/114908838/?open_card_kn
700000,"улица Дачная, 214",Краснодар,2000,350,Универсальное помещение,https://krasnodar-1.n1.ru/view/113467673/?open_card_kn
14000,"улица Восточно-Кругликовская, 48",Краснодар,700,20,Универсальное помещение,https://krasnodar-1.n1.ru/view/115941065/?open_card_kn
500000,"улица Московская, 112а",Краснодар,1250,400,Универсальное помещение,https://krasnodar-1.n1.ru/view/115598539/?open_card_kn
180210,"улица Школьная, 1",Краснодар,3003,60,Универсальное помещение,https://krasnodar-1.n1.ru/view/114899905/?open_card_kn
42500,"переулок Дорожный, 8",Краснодар,250,170,Универсальное помещение,https://krasnodar-1.n1.ru/view/115932381/?open_card_kn
385000,"улица Петра Пискижева, 48а",Краснодар,550,700,Универсальное помещение,https://krasnodar-1.n1.ru/view/115932352/?open_card_kn
61500,"улица им. Героя Николая Шевелёва, 17",Краснодар,1500,41,Универсальное помещение,https://krasnodar-1.n1.ru/view/114893995/?open_card_kn
45000,"улица им Мачуги В.Н., 166",Краснодар,1162,38,Универсальное помещение,https://krasnodar-1.n1.ru/view/114893851/?open_card_kn
115950,"улица Имени Профессора Малигонова, 50",Краснодар,2500,46,Универсальное помещение,https://krasnodar-1.n1.ru/view/115587625/?open_card_kn
25000,"улица Линия 2-я, 131",Краснодар,500,50,Универсальное помещение,https://krasnodar-1.n1.ru/view/77229273/?open_card_kn
55000,"улица им Гаврилова П.М., 111",Краснодар,1833,30,Универсальное помещение,https://krasnodar-1.n1.ru/view/113795689/?open_card_kn
237187,"улица Сормовская, 9",Краснодар,1000,237,Универсальное помещение,https://krasnodar-1.n1.ru/view/115580671/?open_card_kn
360000,"улица Ставропольская, 133",Краснодар,1058,340,Универсальное помещение,https://krasnodar-1.n1.ru/view/115208473/?open_card_kn
110000,"Чекистов проспект, 26",Краснодар,733,150,Универсальное помещение,https://krasnodar-1.n1.ru/view/115568581/?open_card_kn
85000,"улица Трудовая 3-я, 68",Краснодар,1040,81,Универсальное помещение,https://krasnodar-1.n1.ru/view/115190286/?open_card_kn
350000,"проспект им 40-летия Победы, 97 ст1",Краснодар,1000,350,Универсальное помещение,https://krasnodar-1.n1.ru/view/115188799/?open_card_kn
160000,"улица Красных Партизан, 481",Краснодар,1000,160,Универсальное помещение,https://krasnodar-1.n1.ru/view/114497518/?open_card_kn
72000,"улица им Кирилла Россинского, 3",Краснодар,1500,48,Универсальное помещение,https://krasnodar-1.n1.ru/view/115919831/?open_card_kn
2600000,"улица Красных Партизан, 525",Краснодар,1300,2000,Универсальное помещение,https://krasnodar-1.n1.ru/view/115919775/?open_card_kn
105000,"улица им Кирилла Россинского, 3",Краснодар,1500,70,Универсальное помещение,https://krasnodar-1.n1.ru/view/115919705/?open_card_kn
157500,"улица им Кирилла Россинского, 3",Краснодар,1500,105,Универсальное помещение,https://krasnodar-1.n1.ru/view/115919704/?open_card_kn
88200,"улица Имени М.П. Шемякина, 2",Краснодар,1500,58,Универсальное помещение,https://krasnodar-1.n1.ru/view/113442517/?open_card_kn
250200,"проспект Мира, 44",Краснодар,834,300,Универсальное помещение,https://krasnodar-1.n1.ru/view/110265134/?open_card_kn
900000,"улица Северная, 393",Краснодар,1500,600,Универсальное помещение,https://krasnodar-1.n1.ru/view/114494785/?open_card_kn
150000,"улица Ямальская 2-я, 45",Краснодар,993,151,Универсальное помещение,https://krasnodar-1.n1.ru/view/114489798/?open_card_kn
94400,"улица Генерал-лейтенанта Александра Сапрунова, 371са",Краснодар,999,94,Универсальное помещение,https://krasnodar-1.n1.ru/view/115559570/?open_card_kn
130000,"улица Восточно-Кругликовская, 34",Краснодар,1040,125,Универсальное помещение,https://krasnodar-1.n1.ru/view/114154009/?open_card_kn
160000,"улица Сергиевская, 64",Краснодар,2000,80,Универсальное помещение,https://krasnodar-1.n1.ru/view/108314366/?open_card_kn
35000,"улица им Цезаря Куникова, 24",Краснодар,1400,25,Универсальное помещение,https://krasnodar-1.n1.ru/view/115908475/?open_card_kn
90000,"улица Средняя, 30",Краснодар,1306,68,Универсальное помещение,https://krasnodar-1.n1.ru/view/110246489/?open_card_kn
612000,"улица им Гоголя, 68",Краснодар,1500,408,Универсальное помещение,https://krasnodar-1.n1.ru/view/113026727/?open_card_kn
216000,"проспект им 40-летия Победы, 178",Краснодар,1600,135,Универсальное помещение,https://krasnodar-1.n1.ru/view/115546480/?open_card_kn
892500,"улица Коммунаров, 268",Краснодар,1700,525,Универсальное помещение,https://krasnodar-1.n1.ru/view/115545737/?open_card_kn
612300,"улица им Лизы Чайкиной, 40",Краснодар,1300,471,Универсальное помещение,https://krasnodar-1.n1.ru/view/115545476/?open_card_kn
350000,"проспект им 40-летия Победы, 97 ст1",Краснодар,1000,350,Универсальное помещение,https://krasnodar-1.n1.ru/view/115901521/?open_card_kn
70000,"улица Уральская, 111",Краснодар,1166,60,Универсальное помещение,https://krasnodar-1.n1.ru/view/115544891/?open_card_kn
525000,"улица Школьная, 28",Краснодар,1500,350,Универсальное помещение,https://krasnodar-1.n1.ru/view/114869434/?open_card_kn
75000,"улица им Петра Метальникова, 36",Краснодар,1457,51,Универсальное помещение,https://krasnodar-1.n1.ru/view/114476788/?open_card_kn
29200,"улица им лётчика Позднякова, 2",Краснодар,1000,29,Универсальное помещение,https://krasnodar-1.n1.ru/view/115897708/?open_card_kn
70000,"улица Домбайская, 55",Краснодар,1129,62,Универсальное помещение,https://krasnodar-1.n1.ru/view/115897271/?open_card_kn
