"rent, rub/month",full_address,city,"price_per_sqm, rub/month","square, m^2",type,url
75000,"улица Омская, 26",Красноярск,981,76,Универсальное помещение,https://krasnoyarsk.n1.ru/view/115221963/?open_card_kn
75000,"улица Алексеева, 7",Красноярск,833,90,Универсальное помещение,https://krasnoyarsk.n1.ru/view/112442044/?open_card_kn
432000,"улица Анатолия Гладкова, 2",Красноярск,1000,432,Универсальное помещение,https://krasnoyarsk.n1.ru/view/115942112/?open_card_kn
105000,"улица Караульная, 44",Красноярск,1050,100,Универсальное помещение,https://krasnoyarsk.n1.ru/view/115919338/?open_card_kn
1200,"улица Енисейская, 2а",Красноярск,10,120,Универсальное помещение,https://krasnoyarsk.n1.ru/view/115879484/?open_card_kn
82000,"улица Норильская, 16ж",Красноярск,772,106,Универсальное помещение,https://krasnoyarsk.n1.ru/view/115037101/?open_card_kn
60000,"Молодежный проспект, 19",Красноярск,2013,29,Универсальное помещение,https://krasnoyarsk.n1.ru/view/115952861/?open_card_kn
126000,"Молодежный проспект, 19",Красноярск,1996,63,Универсальное помещение,https://krasnoyarsk.n1.ru/view/115952860/?open_card_kn
100000,"улица Бограда, 134",Красноярск,1176,85,Универсальное помещение,https://krasnoyarsk.n1.ru/view/114915815/?open_card_kn
95000,"улица Баумана, 22",Красноярск,1266,75,Универсальное помещение,https://krasnoyarsk.n1.ru/view/115951703/?open_card_kn
76000,"улица Соколовская, 20а",Красноярск,713,106,Универсальное помещение,https://krasnoyarsk.n1.ru/view/111225691/?open_card_kn
155000,"улица Школьная, 44",Красноярск,1000,155,Универсальное помещение,https://krasnoyarsk.n1.ru/view/112651126/?open_card_kn
200000,"улица Лесопитомник, 17а",Красноярск,1000,200,Универсальное помещение,https://krasnoyarsk.n1.ru/view/115949354/?open_card_kn
80000,"улица Линейная, 122",Красноярск,1122,71,Универсальное помещение,https://krasnoyarsk.n1.ru/view/115253424/?open_card_kn
100000,"Свободный проспект, 57",Красноярск,1204,83,Универсальное помещение,https://krasnoyarsk.n1.ru/view/115939315/?open_card_kn
55000,"улица Тельмана, 31",Красноярск,1235,44,Универсальное помещение,https://krasnoyarsk.n1.ru/view/113815397/?open_card_kn
1446000,"улица Мужества, 8",Красноярск,1000,1446,Универсальное помещение,https://krasnoyarsk.n1.ru/view/115244671/?open_card_kn
174420,"Свободный проспект, 66р 1",Красноярск,9500,18,Универсальное помещение,https://krasnoyarsk.n1.ru/view/113809522/?open_card_kn
150000,"улица Машиностроителей, 10",Красноярск,1724,87,Универсальное помещение,https://krasnoyarsk.n1.ru/view/112648725/?open_card_kn
60000,"улица Свердлова, 15",Красноярск,983,61,Универсальное помещение,https://krasnoyarsk.n1.ru/view/112648489/?open_card_kn
160000,"улица 9 Мая, 63",Красноярск,933,171,Универсальное помещение,https://krasnoyarsk.n1.ru/view/115933947/?open_card_kn
326280,"улица Затонская, 40",Красноярск,600,543,Универсальное помещение,https://krasnoyarsk.n1.ru/view/115241116/?open_card_kn
150420,"улица Комсомольская, 4",Красноярск,600,250,Универсальное помещение,https://krasnoyarsk.n1.ru/view/106881570/?open_card_kn
13000,"улица им Шевченко, 5",Красноярск,1300,10,Универсальное помещение,https://krasnoyarsk.n1.ru/view/112265638/?open_card_kn
95000,"улица Петра Подзолкова, 28",Красноярск,1067,89,Универсальное помещение,https://krasnoyarsk.n1.ru/view/111172750/?open_card_kn
80000,"улица Петра Подзолкова, 6",Красноярск,930,86,Универсальное помещение,https://krasnoyarsk.n1.ru/view/114888566/?open_card_kn
140000,"улица Петра Ломако, 16",Красноярск,1458,96,Универсальное помещение,https://krasnoyarsk.n1.ru/view/115586124/?open_card_kn
45000,"улица Борисевича, 20",Красноярск,762,59,Универсальное помещение,https://krasnoyarsk.n1.ru/view/112645905/?open_card_kn
80000,"проспект Ленина, 148",Красноярск,727,110,Универсальное помещение,https://krasnoyarsk.n1.ru/view/112645882/?open_card_kn
984600,"улица Ады Лебедевой, 107а",Красноярск,1000,984,Универсальное помещение,https://krasnoyarsk.n1.ru/view/114885605/?open_card_kn
550000,"улица Затонская, 18",Красноярск,1000,550,Универсальное помещение,https://krasnoyarsk.n1.ru/view/115221226/?open_card_kn
110000,"улица Гусарова, 78",Красноярск,1000,110,Универсальное помещение,https://krasnoyarsk.n1.ru/view/115926841/?open_card_kn
50000,"им газеты Красноярский Рабочий проспект, 51",Красноярск,706,70,Универсальное помещение,https://krasnoyarsk.n1.ru/view/115209241/?open_card_kn
80000,"улица Карбышева, 24б",Красноярск,720,111,Универсальное помещение,https://krasnoyarsk.n1.ru/view/110279404/?open_card_kn
132000,"улица Южная Набережная, 6",Красноярск,1200,110,Универсальное помещение,https://krasnoyarsk.n1.ru/view/112257862/?open_card_kn
190000,"улица Елены Стасовой, 1",Красноярск,1570,121,Универсальное помещение,https://krasnoyarsk.n1.ru/view/76432545/?open_card_kn
1968000,"улица Вокзальная, 12",Красноярск,30000,65,Универсальное помещение,https://krasnoyarsk.n1.ru/view/115923489/?open_card_kn
161280,"Светлогорский переулок, 12",Красноярск,1200,134,Универсальное помещение,https://krasnoyarsk.n1.ru/view/76320163/?open_card_kn
60000,"улица Калинина, 41б",Красноярск,566,105,Универсальное помещение,https://krasnoyarsk.n1.ru/view/115923002/?open_card_kn
5000,"Светлогорский переулок, 2",Красноярск,1666,3,Универсальное помещение,https://krasnoyarsk.n1.ru/view/115565949/?open_card_kn
375000,"улица Советской Армии, 2б",Красноярск,250,1500,Универсальное помещение,https://krasnoyarsk.n1.ru/view/115562278/?open_card_kn
110000,"улица 78 Добровольческой бригады, 4",Красноярск,1018,108,Универсальное помещение,https://krasnoyarsk.n1.ru/view/113437819/?open_card_kn
2470000,"улица Светлогорская, 8",Красноярск,950,2600,Универсальное помещение,https://krasnoyarsk.n1.ru/view/115914241/?open_card_kn
160000,"проспект Ленина, 34",Красноярск,761,210,Универсальное помещение,https://krasnoyarsk.n1.ru/view/115913577/?open_card_kn
100000,"улица Можайского, 4г",Красноярск,1515,66,Универсальное помещение,https://krasnoyarsk.n1.ru/view/111988434/?open_card_kn
60000,"улица им Шевченко, 3",Красноярск,983,61,Универсальное помещение,https://krasnoyarsk.n1.ru/view/112625125/?open_card_kn
429000,"Мира проспект, 53",Красноярск,1100,390,Универсальное помещение,https://krasnoyarsk.n1.ru/view/115556772/?open_card_kn
14000,"улица им Говорова, 48а",Красноярск,400,35,Универсальное помещение,https://krasnoyarsk.n1.ru/view/113032122/?open_card_kn
400000,"улица Маерчака, 8 ст2",Красноярск,524,762,Универсальное помещение,https://krasnoyarsk.n1.ru/view/115556645/?open_card_kn
250000,"улица Батурина, 20",Красноярск,910,274,Универсальное помещение,https://krasnoyarsk.n1.ru/view/115556264/?open_card_kn
75000,"улица Молокова, 62",Красноярск,1875,40,Универсальное помещение,https://krasnoyarsk.n1.ru/view/111986500/?open_card_kn
200000,"улица Семафорная, 289",Красноярск,408,490,Универсальное помещение,https://krasnoyarsk.n1.ru/view/115910642/?open_card_kn
100000,"улица Эко ЖК, 1",Красноярск,996,100,Универсальное помещение,https://krasnoyarsk.n1.ru/view/114147373/?open_card_kn
