"rent, rub/month",full_address,city,"price_per_sqm, rub/month","square, m^2",type,url
450000,"улица Шумкина, 20 ст1",Москва,1698,265,Универсальное помещение,https://msk.n1.ru/view/115904136/?open_card_kn
4097925,"улица Берсеневская набережная, 8 ст1",Москва,3249,1260,Универсальное помещение,https://msk.n1.ru/view/115813194/?open_card_kn
68125,"улица Шумкина, 20 ст1",Москва,2084,32,Универсальное помещение,https://msk.n1.ru/view/115777113/?open_card_kn
65000,"улица Николая Озерова, 2",Москва,4333,15,Универсальное помещение,https://msk.n1.ru/view/115738288/?open_card_kn
490000,"улица Новослободская, 50 ст2",Москва,1580,310,Универсальное помещение,https://msk.n1.ru/view/115137027/?open_card_kn
293601,"Мира проспект, 102 ст17",Москва,2667,110,Универсальное помещение,https://msk.n1.ru/view/114858057/?open_card_kn
268000,"Лихачева проспект, 14",Москва,4000,67,Универсальное помещение,https://msk.n1.ru/view/114356329/?open_card_kn
6680000,"улица Вильгельма Пика, 14 ст2",Москва,3333,2004,Универсальное помещение,https://msk.n1.ru/view/113960897/?open_card_kn
450000,"улица Масловка Верхн., 20 ст1",Москва,1585,283,Универсальное помещение,https://msk.n1.ru/view/111240795/?open_card_kn
6330850,"улица Рочдельская, 15 ст13",Москва,4416,1433,Универсальное помещение,https://msk.n1.ru/view/110506136/?open_card_kn
290000,"Братьев Весниных бульвар, 1",Москва,5025,57,Универсальное помещение,https://msk.n1.ru/view/107332313/?open_card_kn
532000,"Вернадского проспект, 105",Москва,1666,319,Универсальное помещение,https://msk.n1.ru/view/93156451/?open_card_kn
644625,"Братьев Весниных бульвар, 1",Москва,3750,171,Универсальное помещение,https://msk.n1.ru/view/77584667/?open_card_kn
3333333,"улица Стромынка, 25 ст1",Москва,2083,1600,Универсальное помещение,https://msk.n1.ru/view/115948252/?open_card_kn
154533,"улица Лухмановская, 34",Москва,1333,115,Универсальное помещение,https://msk.n1.ru/view/107408161/?open_card_kn
154400,"улица Лухмановская, 34",Москва,1333,115,Универсальное помещение,https://msk.n1.ru/view/107408059/?open_card_kn
102125,"улица Лухмановская, 34",Москва,1583,64,Универсальное помещение,https://msk.n1.ru/view/107405056/?open_card_kn
228000,"улица Конструктора Гуськова, 8 ст10",Москва,1200,190,Универсальное помещение,https://msk.n1.ru/view/115246678/?open_card_kn
159733,"улица Лухмановская, 32",Москва,1333,119,Универсальное помещение,https://msk.n1.ru/view/107397713/?open_card_kn
1120000,"Новоясеневский проспект, 1в ст1",Москва,1400,800,Универсальное помещение,https://msk.n1.ru/view/115932554/?open_card_kn
270000,"улица Мневники Нижн., 7",Москва,7964,33,Универсальное помещение,https://msk.n1.ru/view/114895445/?open_card_kn
600000,"улица Василия Ланового, 7 ст1",Москва,6444,93,Универсальное помещение,https://msk.n1.ru/view/114895346/?open_card_kn
270000,"улица Мневники Нижн., 7",Москва,8206,32,Универсальное помещение,https://msk.n1.ru/view/114895334/?open_card_kn
600000,"улица Василия Ланового, 7 ст1",Москва,6500,92,Универсальное помещение,https://msk.n1.ru/view/114895330/?open_card_kn
1500000,"улица Пречистенка, 19 ст2",Москва,13636,110,Универсальное помещение,https://msk.n1.ru/view/114181056/?open_card_kn
2754000,"улица Автозаводская, 23",Москва,2000,1377,Универсальное помещение,https://msk.n1.ru/view/115927074/?open_card_kn
