"rent, rub/month",full_address,city,"price_per_sqm, rub/month","square, m^2",type,url
69500,"улица Композитора Касьянова, 11",Нижний Новгород,718,96,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/115679857/?open_card_kn
159000,"улица Гоголя, 41",Нижний Новгород,1135,140,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/115490915/?open_card_kn
25000,"улица Бетанкура, 4",Нижний Новгород,446,56,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/114529344/?open_card_kn
141000,"Ленина проспект, 103а",Нижний Новгород,300,470,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/77410717/?open_card_kn
7238000,"Московское шоссе, 300",Нижний Новгород,1100,6580,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/115260420/?open_card_kn
120000,"улица 3-я Ямская, 30",Нижний Новгород,1000,120,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/112286729/?open_card_kn
111000,"Ленина проспект, 98",Нижний Новгород,1200,92,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/115947582/?open_card_kn
470000,"Восточный проезд, 5",Нижний Новгород,500,940,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/113468901/?open_card_kn
12750,"улица Энгельса, 2",Нижний Новгород,750,17,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/115945450/?open_card_kn
94000,"улица Родионова, 202",Нижний Новгород,1000,94,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/115941960/?open_card_kn
35011,"улица Бекетова, 42",Нижний Новгород,1041,33,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/115941959/?open_card_kn
32000,"улица Тимирязева, 9",Нижний Новгород,1066,30,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/115941945/?open_card_kn
199870,"улица Оранжерейная 2-я, 4а",Нижний Новгород,1100,181,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/115941946/?open_card_kn
40500,"Гагарина проспект, 25б",Нижний Новгород,900,45,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/115941921/?open_card_kn
75000,"улица Вторчермета, 1г",Нижний Новгород,1000,75,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/115941916/?open_card_kn
109200,"улица Почаинская, 17е",Нижний Новгород,840,130,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/115941913/?open_card_kn
58825,"улица Лейтенанта Шмидта, 6",Нижний Новгород,650,90,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/115941914/?open_card_kn
45000,"улица Коммунистическая, 2",Нижний Новгород,1000,45,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/113808986/?open_card_kn
165000,"улица Юлиуса Фучика, 13",Нижний Новгород,1000,165,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/115935205/?open_card_kn
210000,"улица Переходникова, 29",Нижний Новгород,350,600,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/115240057/?open_card_kn
375000,"Восточный проезд, 11",Нижний Новгород,125,3000,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/115237417/?open_card_kn
35000,"улица Березовская, 101",Нижний Новгород,1166,30,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/115233569/?open_card_kn
70000,"Юбилейный бульвар, 3",Нижний Новгород,409,171,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/113071991/?open_card_kn
50000,"улица Октябрьской Революции, 39",Нижний Новгород,833,60,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/106488249/?open_card_kn
61200,"Южное шоссе, 43а",Нижний Новгород,600,102,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/106488223/?open_card_kn
62400,"улица Ларина, 12",Нижний Новгород,600,104,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/115588094/?open_card_kn
68000,"Московское шоссе, 306",Нижний Новгород,739,92,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/115218881/?open_card_kn
500000,"улица Рождественская, 24",Нижний Новгород,1612,310,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/115583093/?open_card_kn
800000,"улица Коминтерна, 43б",Нижний Новгород,1296,617,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/115926754/?open_card_kn
1000000,"Московское шоссе, 85",Нижний Новгород,1000,1000,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/108980257/?open_card_kn
5000,"проспект Сергея Тюленина, 4",Нижний Новгород,1000,5,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/114509428/?open_card_kn
1160550,"Октября проспект, 12",Нижний Новгород,1500,773,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/113452716/?open_card_kn
130500,"улица Краснодонцев, 21",Нижний Новгород,1500,87,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/110761323/?open_card_kn
250000,"улица Дмитрия Павлова, 13а",Нижний Новгород,1000,250,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/115567178/?open_card_kn
280000,"улица пос. Парышево, 17",Нижний Новгород,2000,140,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/115917374/?open_card_kn
139000,"Кирова проспект, 4",Нижний Новгород,1007,138,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/115163713/?open_card_kn
310000,"улица Максима Горького, 50",Нижний Новгород,1111,278,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/115163708/?open_card_kn
30000,"улица Плотникова, 4",Нижний Новгород,1250,24,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/115162871/?open_card_kn
119000,"Бурнаковский проезд, 1",Нижний Новгород,850,140,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/115161783/?open_card_kn
440980,"улица Выборгская, 6",Нижний Новгород,850,518,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/115161705/?open_card_kn
9500,"улица Бринского, 1",Нижний Новгород,1187,8,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/115161703/?open_card_kn
60000,"Московское шоссе, 33",Нижний Новгород,690,86,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/115552870/?open_card_kn
60000,"Казанское шоссе, 10",Нижний Новгород,896,66,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/115552867/?open_card_kn
35000,"улица Максима Горького, 148",Нижний Новгород,795,44,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/115552868/?open_card_kn
1170000,"улица Нартова, 2",Нижний Новгород,780,1500,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/115552692/?open_card_kn
352000,"улица Веденяпина, 14а",Нижний Новгород,800,440,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/115552691/?open_card_kn
343200,"улица Долгополова, 49",Нижний Новгород,1096,313,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/113027640/?open_card_kn
950600,"улица Нижегородская, 5",Нижний Новгород,1000,950,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/115552040/?open_card_kn
448750,"улица Нижне-Волжская набережная, 19",Нижний Новгород,1250,359,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/115552033/?open_card_kn
150000,"улица Веденяпина, 14а",Нижний Новгород,1200,125,Универсальное помещение,https://nizhnij-novgorod.n1.ru/view/115552034/?open_card_kn
