"rent, rub/month",full_address,city,"price_per_sqm, rub/month","square, m^2",type,url
74900,"улица Никитина, 112б",Новосибирск,949,78,Универсальное помещение,https://novosibirsk.n1.ru/view/115941209/?open_card_kn
90000,"улица Петухова, 51",Новосибирск,360,250,Универсальное помещение,https://novosibirsk.n1.ru/view/115870801/?open_card_kn
150000,"улица Железнодорожная, 15",Новосибирск,1630,92,Универсальное помещение,https://novosibirsk.n1.ru/view/115638303/?open_card_kn
65000,"улица Галущака, 2",Новосибирск,562,115,Универсальное помещение,https://novosibirsk.n1.ru/view/115954295/?open_card_kn
84000,"улица Пушкина, 91",Новосибирск,700,120,Универсальное помещение,https://novosibirsk.n1.ru/view/115954091/?open_card_kn
220000,"улица Виктора Уса, 1",Новосибирск,873,251,Универсальное помещение,https://novosibirsk.n1.ru/view/115954092/?open_card_kn
55000,"улица Орджоникидзе, 40",Новосибирск,1145,48,Универсальное помещение,https://novosibirsk.n1.ru/view/115954093/?open_card_kn
90000,"Микрорайон 3-й, 2",Новосибирск,929,96,Универсальное помещение,https://novosibirsk.n1.ru/view/115954090/?open_card_kn
12000,"улица Широкая, 19",Новосибирск,662,18,Универсальное помещение,https://novosibirsk.n1.ru/view/115953736/?open_card_kn
410000,"улица 2-я Станционная, 26",Новосибирск,751,545,Универсальное помещение,https://novosibirsk.n1.ru/view/115953737/?open_card_kn
55000,"улица Твардовского, 22",Новосибирск,733,75,Универсальное помещение,https://novosibirsk.n1.ru/view/115953735/?open_card_kn
100000,"улица Ватутина, 39",Новосибирск,1064,93,Универсальное помещение,https://novosibirsk.n1.ru/view/115953734/?open_card_kn
432500,"улица 2-я Складская, 7",Новосибирск,580,745,Универсальное помещение,https://novosibirsk.n1.ru/view/114529507/?open_card_kn
57000,"улица 2-я Складская, 7",Новосибирск,496,114,Универсальное помещение,https://novosibirsk.n1.ru/view/114529506/?open_card_kn
323450,"улица 2-я Складская, 7",Новосибирск,500,646,Универсальное помещение,https://novosibirsk.n1.ru/view/114529505/?open_card_kn
12000,"Горский микрорайон, 8",Новосибирск,1200,10,Универсальное помещение,https://novosibirsk.n1.ru/view/114529504/?open_card_kn
144000,"улица Петухова, 17а",Новосибирск,600,240,Универсальное помещение,https://novosibirsk.n1.ru/view/114529502/?open_card_kn
1400,"улица Василия Клевцова, 1",Новосибирск,19,73,Универсальное помещение,https://novosibirsk.n1.ru/view/114529452/?open_card_kn
2400,"улица Василия Клевцова, 1",Новосибирск,228,10,Универсальное помещение,https://novosibirsk.n1.ru/view/114529454/?open_card_kn
1950,"улица Василия Клевцова, 1",Новосибирск,96,20,Универсальное помещение,https://novosibirsk.n1.ru/view/114529453/?open_card_kn
30000,"Красный проспект, 4",Новосибирск,517,58,Универсальное помещение,https://novosibirsk.n1.ru/view/115949568/?open_card_kn
221760,"проспект Ленина, 21",Новосибирск,420,528,Универсальное помещение,https://novosibirsk.n1.ru/view/115876488/?open_card_kn
95000,"улица Богдана Хмельницкого, 5",Новосибирск,1103,86,Универсальное помещение,https://novosibirsk.n1.ru/view/114501807/?open_card_kn
219672,"улица Станционная, 30а 25",Новосибирск,486,452,Универсальное помещение,https://novosibirsk.n1.ru/view/114048545/?open_card_kn
150000,"улица 3 Интернационала, 276",Новосибирск,638,235,Универсальное помещение,https://novosibirsk.n1.ru/view/113781185/?open_card_kn
90900,"улица Тайгинская, 39",Новосибирск,1500,60,Универсальное помещение,https://novosibirsk.n1.ru/view/106809042/?open_card_kn
166000,"улица Большевистская, 35",Новосибирск,2000,83,Универсальное помещение,https://novosibirsk.n1.ru/view/115953000/?open_card_kn
403200,"улица Пушкина, 43",Новосибирск,700,576,Универсальное помещение,https://novosibirsk.n1.ru/view/115952970/?open_card_kn
130000,"улица Октябрьская, 34",Новосибирск,681,190,Универсальное помещение,https://novosibirsk.n1.ru/view/114527958/?open_card_kn
110000,"улица Трудовая, 25",Новосибирск,2894,38,Универсальное помещение,https://novosibirsk.n1.ru/view/114915034/?open_card_kn
85000,"улица Линейная, 29",Новосибирск,692,122,Универсальное помещение,https://novosibirsk.n1.ru/view/115951628/?open_card_kn
40000,"улица Виктора Шевелева, 22",Новосибирск,1000,40,Универсальное помещение,https://novosibirsk.n1.ru/view/115258357/?open_card_kn
28080,"улица Вокзальная магистраль, 6а",Новосибирск,1350,20,Универсальное помещение,https://novosibirsk.n1.ru/view/75483938/?open_card_kn
260000,"улица 1-я Юргинская, 64",Новосибирск,730,356,Универсальное помещение,https://novosibirsk.n1.ru/view/114914984/?open_card_kn
