"rent, rub/month",full_address,city,"price_per_sqm, rub/month","square, m^2",type,url
159120,"улица Салова, 61",Санкт-Петербург,2600,61,Универсальное помещение,https://spb.n1.ru/view/114501131/?open_card_kn
518960,"улица Николая Рубцова, 5",Санкт-Петербург,2600,199,Универсальное помещение,https://spb.n1.ru/view/113430978/?open_card_kn
190000,"улица Салова, 61",Санкт-Петербург,3386,56,Универсальное помещение,https://spb.n1.ru/view/111014705/?open_card_kn
3750000,"Выборгское шоссе, 12",Санкт-Петербург,2500,1500,Универсальное помещение,https://spb.n1.ru/view/115249491/?open_card_kn
350000,"1-й (Горелово) проезд, 36",Санкт-Петербург,2034,172,Универсальное помещение,https://spb.n1.ru/view/115579255/?open_card_kn
222400,"улица Юных пионеров, 38",Санкт-Петербург,800,278,Универсальное помещение,https://spb.n1.ru/view/114497084/?open_card_kn
950000,"проспект Средний Васильевского острова, 53",Санкт-Петербург,3877,245,Универсальное помещение,https://spb.n1.ru/view/114494120/?open_card_kn
2094000,"Приморский проспект, 50",Санкт-Петербург,1200,1745,Универсальное помещение,https://spb.n1.ru/view/114478925/?open_card_kn
353500,"Комендантский проспект, 59",Санкт-Петербург,3500,101,Универсальное помещение,https://spb.n1.ru/view/115887591/?open_card_kn
528500,"Комендантский проспект, 59",Санкт-Петербург,3500,151,Универсальное помещение,https://spb.n1.ru/view/115887409/?open_card_kn
770000,"улица Юных пионеров, 38",Санкт-Петербург,550,1400,Универсальное помещение,https://spb.n1.ru/view/114467072/?open_card_kn
910000,"улица Новгородская, 13л",Санкт-Петербург,1300,700,Универсальное помещение,https://spb.n1.ru/view/115512784/?open_card_kn
184000,"улица Константина Заслонова, 8б",Санкт-Петербург,2000,92,Универсальное помещение,https://spb.n1.ru/view/115151544/?open_card_kn
200800,"улица Казанская, 7в",Санкт-Петербург,800,251,Универсальное помещение,https://spb.n1.ru/view/115134863/?open_card_kn
681152,"улица Казанская, 7в",Санкт-Петербург,1600,425,Универсальное помещение,https://spb.n1.ru/view/115133081/?open_card_kn
